Categoría,Marca,Producto/Servicio,Precio,Descripción / Notas,Extras
Smartphones,Apple,iPhone (gama premium y media),Cotización,Servicio bajo pedido,Cotización personalizada
Impresoras,Epson,Epson L3250,"$4,919.00",Impresora multifuncional,Incluir precio y funciones
Impresoras,Epson,Epson L5590,"$5,995.00",Impresora multifuncional,Incluir precio y funciones
Impresoras,HP,"Color LaserJet Pro MFP M479 (dw, fnw, fdw)",Cotización,Multifuncional a color para empresas,"Funciones según modelo, tóner, accesorios, seguridad"
Impresoras,HP,LaserJet MFP M236sdw,Cotización,Láser monocromática multifuncional,"Velocidad 30 ppm, ADF, WiFi"
Impresoras,HP,Smart Tank 750 All-in-One,Cotización,Multifuncional con tanque de tinta,Incluye tinta para 8000 páginas
Impresoras,HP,Color LaserJet Enterprise MFP M480f,Cotización,Multifuncional empresarial,"Tóner 416A/416X, accesorios, seguridad"
Impresoras,Brother,DCP-T220,Cotización,Multifuncional de tinta económica,"7500 pág. negro, 5000 color"
Impresoras,Brother,HL-1212W,Cotización,Láser monocromática WiFi,Tóner económico 1000 páginas
Impresoras,Brother,DCP-B7535DW,Cotización,Multifuncional láser monocromática,"Dúplex, ADF 50 hojas"
Impresoras,Xerox,B310/B305/B315,Cotización,Impresoras rápidas y compactas,"B315 con fax, seguridad avanzada"
Audio,Vorago,Bocina KSP-302,Cotización,Bocina en promoción,Dimensiones 29x26.5x49.5 cm
Servicios,HP,Care Pack (3 a 5 años),Cotización,Garantía extendida,"Códigos UB9S6E, UB9S7E, UB9S8E…"
